,Operator Name,Location Name,COMAH tier,Local Authority,Country,postcode,latitude,longitude,x,y
176,Kronospan Limited,Chirk,upper,Wrexham UA,Wales,LL145NT,52.9368216127462,-3.06191090758758,191.88971513936565,232.05195384905892
177,LANXESS Solutions UK Limited,Trafford Park,upper,Trafford,England,M171WT,53.470493770350096,-2.326051,243.0783497501684,277.21375000865146
178,Lanxess Urethanes UK Limited,Accrington,upper,Rossendale,England,BB52SL,53.72615273,-2.337530355,243.2524220031774,300.1066149428243
179,Liberty Aluminium Lochaber Limited,Lochaber Smelter,upper,Highland UA,Scotland,PH336TH,56.829075694432305,-5.0726083133296,88.78154132258328,594.1748411336757
180,Libra Speciality Chemicals Limited,Irlam,upper,Salford,England,M445LF,53.427413656533695,-2.43057145991914,236.00318684962812,273.6561209095307
181,Lucite International UK Limited,Cassel Works Billingham,upper,Stockton-on-Tees,England,TS231LE,54.586997,-1.275901,314.7868737824409,375.4784906478103
182,Lufthansa Technik Landing Gear Services UK Limited,Hayes,upper,Hillingdon,England,UB31HP,51.505092088175694,-0.435008984507213,366.8832236868422,100.85866893985076
183,MacDermid Performance Solutions UK Limited,Sparkbrook,upper,Birmingham,England,B112PN,52.462898,-1.860085387,270.99562066053306,186.69608807187842
184,Major Storage Company Limited (The),Tutbury,upper,East Staffordshire,England,DE139HS,52.857422,-1.715358,281.8399266813876,221.2526921975209
185,Makin Metal Powders (UK) Limited,Rochdale,upper,Rochdale,England,OL129DT,53.6319949191668,-2.14463557854358,255.61717915307506,291.180584737976
186,Mexichem UK Limited,Runcorn,upper,Halton UA,England,WA74JE,53.325774547209505,-2.69446626129696,218.11007432311337,265.3773678600737
187,Mowi Scotland Limited,Kyleakin,upper,Highland UA,Scotland,IV418PQ,57.2721383389276,-5.7434651136379,52.286434611442644,639.155734835515
188,Nalco Manufacturing Limited,Northwich                     ,upper,Cheshire West and Chester UA,England,CW83AA,53.252227,-2.540335,228.04509371406115,258.36028302048544
189,National Grid Gas PLC,Bacton North Sea Gas Terminal,upper,North Norfolk,England,NR120JD,52.8557966810764,1.45996181899215,495.00534677929323,220.63359094973794
190,National Grid Gas PLC,St. Fergus Gas Terminal,upper,Aberdeenshire UA,Scotland,AB423EP,57.57063161,-1.838158246,287.4017409540849,651.5907400798674
191,National Grid Grain LNG Limited,Isle of Grain LNG Site,upper,Medway Towns UA,England,ME30AB,51.4480176396569,0.678752674773595,444.02714407229627,96.0578639497744
192,Navigator Terminals North Tees Limited,North Tees,upper,Stockton-on-Tees,England,TS21TT,54.597849,-1.201026,319.6308341307101,376.3575123858768
193,Navigator Terminals Seal Sands Limited,Stockton on Tees,upper,Stockton-on-Tees,England,TS21UA,54.609626,-1.168111,321.7724129671027,377.38095198267456
194,Navigator Terminals Thames BV Limited,West Thurrock,upper,Thurrock UA,England,RM203ED,51.472717,0.27527,416.05674577860907,97.97326040164353
195,Navigator Terminals Windmill Limited,Windmill Site,upper,Vale of Glamorgan UA,Wales,CF645RZ,51.4032814624774,-3.23901796835752,172.42892025158642,98.23935523881028
196,Nippon Gohsei UK Limited,Saltend,upper,East Riding,England,HU128DS,53.7371148720965,-0.238837759530392,381.28259160155926,297.98560800315
197,North British Distillery Company Limited,Muirhall Bond,upper,West Lothian UA,Scotland,EH558NT,55.8403921263853,-3.612501,171.59050129811328,496.132535526654
198,Novartis Grimsby Limited,Grimsby,upper,North East Lincolnshire,England,DN312SR,53.5843668449393,-0.116691533823372,389.28834139160324,284.2790732381932
199,Nufarm UK Limited,Bradford,upper,Bradford,England,BD129EJ,53.74112886,-1.7552595,281.575359203233,300.0807840192606
200,Oikos Storage Limited,Canvey Island,upper,Castle Point,England,SS80NR,51.5110480329818,0.553698363849966,435.30846849062146,101.44787872517554
201,Oil and Pipelines Agency,Achnasheen,upper,Highland UA,Scotland,IV222HU,57.835126,-5.577036,67.37705193006764,690.7475609356197
202,Oil and Pipelines Agency,Campbeltown,upper,Argyll & Bute UA,Scotland,PA286RD,55.41358,-5.571878,45.85019112585036,466.93982078335694
203,Oil and Pipelines Agency,Helensburgh,upper,Argyll & Bute UA,Scotland,G840EH,56.0701923647801,-4.82367448324463,97.95636931851453,522.7924929172686
204,Oil and Pipelines Agency,Loch Striven,upper,Argyll & Bute UA,Scotland,PA237UL,55.889711,-5.040018,83.11712509550892,507.37749247527427
205,Oil and Pipelines Agency,Plumley,upper,Cheshire West and Chester UA,England,WA169SJ,53.256747447113106,-2.42735568661809,235.57128649823585,258.4369613755093
206,Oil and Pipelines Agency,"Thanckes, Torpoint",upper,Cornwall UA,England,PL112PG,50.3860000039306,-4.2096250217779,98.80030051829868,15.073626915620025
207,Oil and Pipelines Agency,Gosport,upper,Gosport,England,PO124TH,50.7996031416934,-1.1328921185634,317.3777033999063,40.436211164357246
208,OQEMA Limited,Carterton,upper,West Oxfordshire,England,OX183EZ,51.752595805762,-1.59469548739819,287.23257045062667,123.84864733187214
209,Outokumpu Stainless Limited,Stevenson Road Sheffield,upper,Sheffield,England,S93XG,53.3941051651772,-1.438015,301.65155819844233,268.46358177107277
210,Packed Chlorine Limited,Runcorn,upper,Halton UA,England,WA74HZ,53.324815,-2.75504872822107,214.0870604927294,265.4831587519111
211,Perenco UK Limited,Bacton Gas Terminal,upper,North Norfolk,England,NR120JF,52.8569140653652,1.46235387636641,495.16337470962503,220.73669473010796
212,Perenco UK Limited,Hull Dimlington,upper,East Riding,England,HU120SU,53.6601584843066,0.113801076658715,404.4895762198912,291.0639781067025
213,Perenco UK Limited,Wytch Heath Gathering Station,upper,Purbeck,England,BH205JR,50.66584165,-2.036693511,253.4751124173925,30.68498532618287
214,Petroineos Manufacturing Scotland Limited,Finnart Ocean Terminal,upper,Argyll & Bute UA,Scotland,G840EY,56.113306558602495,-4.83014761215934,97.89105035114443,526.7909297098181
215,Petroineos Manufacturing Scotland Limited,Grangemouth Complex,upper,Falkirk UA,Scotland,FK39XH,56.0194822879994,-3.72482399505196,165.6635193245435,513.0421758648954
216,Phillips 66 Limited,Humber Refinery,upper,North Lincolnshire,England,DN403DW,53.63313247273,-0.252185904397512,380.36367480615365,288.67284206853265
217,Phillips 66 Limited,Immingham Pipeline Centre,upper,North East Lincolnshire,England,DN402PB,53.635227,-0.202322,383.65200800474486,288.84734367251076
218,Phillips 66 Limited,Immingham Propylene Storage,upper,North East Lincolnshire,England,DN402QU,53.632689,-0.194958,384.13674130952927,288.6184112807732
219,Phillips 66 Limited t/a Crude Oil Terminals (Humber) Limited,Tetney Oil Terminal,upper,East Lindsey,England,DN365NX,53.4966625791286,-0.006391787738003,396.56830177020004,276.42772508044254
220,Portland Bunkers UK Limited,"East Weare Batteries, Portland Port",upper,Weymouth & Portland,England,DT51PH,50.5620164972353,-2.42655957879898,225.6404514489674,22.840093837598488
221,PPG Industries (UK) Limited,Riverside works,upper,Mid Suffolk,England,IP142AD,52.178199,1.010261,465.872760001999,160.20325501824664
222,Prefere Resins UK Limited,Newton Aycliffe,upper,Durham County UA,England,DL56UE,54.5983359646096,-1.572619,295.702367144853,376.9809541308714
223,Procter & Gamble Product Supply (UK) Limited,Grays,upper,Thurrock UA,England,RM204AL,51.47298,0.293586,417.32521386520614,98.00243584198415
224,Puma Energy (UK) Limited,Milford Haven,upper,Pembrokeshire UA,Wales,SA733JD,51.792556,-4.979123,54.981627376793654,140.68167752180807
225,px (TGPP) Limited,"Teesside Gas Processing Plant, Seal Sands",upper,Stockton-on-Tees,England,TS21UB,54.610588,-1.180091,321.0028840988973,377.48394639077014
226,PX Limited,St Fergus,upper,Aberdeenshire UA,Scotland,AB423EP,57.57063161,-1.838158246,287.4017409540849,651.5907400798674
227,QinetiQ Limited,MOD Shoeburyness,upper,Southend UA,England,SS39SR,51.534647573281504,0.802910349040531,452.52484753822586,103.70617771892239
228,R and A Properties,Stradey Park Business Centre,upper,Carmarthenshire UA,Wales,SA148YP,51.697981,-4.0874459533,115.52582704887652,127.59763116812564
229,Rase Distribution Limited,Lincoln/Rase Distribution Company ,upper,West Lindsey,England,LN35SY,53.203712583650706,-0.303951453656353,376.7472291618458,250.346900854242
230,Rase Distribution Limited,Wickenby Airfield,upper,West Lindsey,England,LN35AX,53.3161660512823,-0.346784433757159,373.9551349877521,260.3832956424276
231,Reckitt Benckiser (UK) Limited,Derby,upper,Derby City UA,England,DE249GG,52.8908677688112,-1.48076424589385,297.66093475951357,223.77765656141582
232,Redcliffe International (Shipping) Limited,Heapey Storage,upper,Chorley,England,PR68TB,53.677246,-2.594508,226.16365927599574,296.45564215073136
233,Redcliffe International (Shipping) Limited,Newlyn Downs,upper,Cornwall UA,England,TR85NJ,50.352318633918,-5.06551902873469,38.06261077359534,17.106721910658507
234,Repsol Sinopec Resources UK Limited,Flotta Terminal,upper,Orkney,Scotland,KW163NP,58.8259834522546,-3.10406124626295,218.41232898420148,773.3021222598245
235,Repsol Sinopec Resources UK Limited ,Nigg Oil Terminal,upper,Highland UA,Scotland,IV191QF,57.7062682964124,-4.02768020202905,157.9157640108186,670.9788518084674
236,Robert McBride Limited,Middleton Head Office,upper,Rochdale,England,M244DP,53.5467382523378,-2.20228142541873,251.5258434646867,283.7009324287301
237,Roxel (UK Rocket Motors) Limited,Summerfield,upper,Wychavon,England,DY117RZ,52.35748595364431,-2.24105634395627,244.83887052171585,178.33879412004808
238,Royal Mint Limited,Pontyclun,upper,"Rhondda, Cynon, Taff UA",Wales,CF728YT,51.555048,-3.390758,162.70165183831477,112.02809000898424
